user_id,name,subscription_plan,start_date
1,User1,Premium,2021-01-02
2,User2,Standard,2021-09-19
3,User3,Basic,2021-04-27
4,User4,Standard,2021-10-03
5,User5,Premium,2021-06-08
6,User6,Premium,2021-06-02
7,User7,Premium,2021-02-04
8,User8,Basic,2021-05-05
9,User9,Basic,2021-06-20
10,User10,Standard,2021-02-17
11,User11,Premium,2021-05-09
12,User12,Standard,2021-07-18
13,User13,Premium,2021-10-10
14,User14,Basic,2021-06-10
15,User15,Standard,2021-05-14
16,User16,Premium,2021-10-09
17,User17,Premium,2021-06-05
18,User18,Standard,2021-06-14
19,User19,Basic,2021-02-26
20,User20,Premium,2021-06-05
21,User21,Standard,2021-11-08
22,User22,Standard,2021-05-22
23,User23,Standard,2021-03-23
24,User24,Premium,2021-03-03
25,User25,Premium,2021-10-10
26,User26,Premium,2021-09-26
27,User27,Premium,2021-04-19
28,User28,Standard,2021-11-27
29,User29,Basic,2021-12-19
30,User30,Premium,2021-11-22
31,User31,Premium,2021-06-19
32,User32,Premium,2021-07-27
33,User33,Standard,2021-01-11
34,User34,Basic,2021-12-14
35,User35,Basic,2021-05-07
36,User36,Premium,2021-03-16
37,User37,Standard,2021-07-19
38,User38,Basic,2021-05-02
39,User39,Premium,2021-11-02
40,User40,Premium,2021-10-01
41,User41,Basic,2021-08-02
42,User42,Premium,2021-02-02
43,User43,Basic,2021-05-03
44,User44,Standard,2021-04-09
45,User45,Premium,2021-03-04
46,User46,Premium,2021-02-16
47,User47,Basic,2021-08-07
48,User48,Premium,2021-06-18
49,User49,Premium,2021-08-27
50,User50,Standard,2021-11-03
